#OTU ID,19.0,20.0,19.0 C,20.0 C
Bacteria;Firmicutes;Bacilli;Lactobacillales;Carnobacteriaceae;Trichococcus,0,0,222,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Christensenellaceae;Christensenellaceae R-7 group;uncultured microorganism,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;Anaerovorax;uncultured bacterium,0,92,0,46
Bacteria;Firmicutes;Clostridia;Clostridiales;Family XIII;[Eubacterium] brachy group;uncultured bacterium,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Peptococcaceae;Dehalobacter;Ambiguous_taxa,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;Saccharofermentans;uncultured bacterium,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;Ruminococcaceae;uncultured;uncultured bacterium,0,0,0,0
Bacteria;Firmicutes;Clostridia;Clostridiales;TC1;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Firmicutes;Erysipelotrichia;Erysipelotrichales;Erysipelotrichaceae;Erysipelotrichaceae UCG-004;uncultured bacterium,18,0,0,0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured;uncultured bacterium,0,0,0,0
Bacteria;Firmicutes;Negativicutes;Selenomonadales;Veillonellaceae;uncultured,0,0,0,0
Bacteria;Fusobacteria;Fusobacteriia;Fusobacteriales;Leptotrichiaceae;uncultured;uncultured bacterium,0,0,0,0
Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Hydrogenedentes;Hydrogenedentia;Hydrogenedentiales;Hydrogenedensaceae,0,0,0,0
Bacteria;Kiritimatiellaeota;Kiritimatiellae;Kiritimatiellales;Kiritimatiellaceae;MSBL3;uncultured bacterium,0,0,0,0
Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;uncultured Verrucomicrobia bacterium;uncultured Verrucomicrobia bacterium;uncultured Verrucomicrobia bacterium,0,0,6,0
Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41;uncultured prokaryote;uncultured prokaryote;uncultured prokaryote,0,0,0,0
Bacteria;Kiritimatiellaeota;Kiritimatiellae;WCHB1-41,6,0,9,29
Bacteria;LCP-89;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Latescibacteria;Latescibacteria;Latescibacterales;Latescibacteraceae;Candidatus Latescibacter;uncultured bacterium,0,0,0,0
Bacteria;Latescibacteria;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;GWF2-44-16;uncultured bacterium;uncultured bacterium,0,0,0,0
Bacteria;Lentisphaerae;Lentisphaeria;Victivallales;PRD18C08;uncultured bacterium;uncultured bacterium,0,8,0,0
